City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dudinka,69.4058,86.1778,18.86,88,100,9.57,RU,1729452882
1,beaufort west,-32.3567,22.583,52.27,74,71,15.9,ZA,1729452883
2,ushuaia,-54.8,-68.3,53.26,37,0,10.36,AR,1729452884
3,atherton,53.5237,-2.4935,58.28,64,55,8.99,GB,1729452885
4,blackmans bay,-43.0167,147.3167,52.74,93,71,4.14,AU,1729452886
5,udachny,66.4167,112.4,-12.33,100,99,2.51,RU,1729452888
6,culpeper,38.5004,-77.9664,76.71,31,0,1.01,US,1729452889
7,punta arenas,-53.15,-70.9167,55.51,47,0,20.71,CL,1729452683
8,olonkinbyen,70.9221,-8.7187,35.19,95,100,12.28,SJ,1729452891
9,luderitz,-26.6481,15.1594,56.35,78,0,19.46,NA,1729452892
10,adamstown,-25.066,-130.1015,67.32,62,77,16.06,PN,1729452894
11,port mathurin,-19.6833,63.4167,73.36,83,25,19.57,MU,1729452895
12,xilin hot,43.9667,116.0333,41.23,69,6,25.99,CN,1729452897
13,hermanus,-34.4187,19.2345,57.18,87,0,12.28,ZA,1729452898
14,waitangi,-43.9535,-176.5597,54.82,89,34,4.0,NZ,1729452899
15,grytviken,-54.2811,-36.5092,31.23,87,100,12.71,GS,1729452900
16,angaur state,6.906,134.13,84.63,81,100,24.27,PW,1729452901
17,edinburgh of the seven seas,-37.0676,-12.3116,59.49,96,100,22.93,SH,1729452902
18,thompson,55.7435,-97.8558,37.56,93,100,4.61,CA,1729452903
19,margaret river,-33.95,115.0667,55.02,53,88,16.24,AU,1729452905
20,college,64.8569,-147.8028,22.17,92,100,5.75,US,1729452906
21,usogorsk,63.4106,48.6872,44.96,95,100,4.23,RU,1729452907
22,geraldton,-28.7667,114.6,59.41,63,100,9.22,AU,1729452908
23,arraial do cabo,-22.9661,-42.0278,73.26,100,100,4.61,BR,1729452910
24,akureyri,65.6835,-18.0878,39.13,87,20,6.91,IS,1729452912
25,saacow,1.6279,42.4407,80.15,75,79,14.97,SO,1729452913
26,yellowknife,62.456,-114.3525,30.42,79,20,6.91,CA,1729452915
27,vadso,70.0744,29.7487,50.16,87,75,16.11,NO,1729452916
28,puerto natales,-51.7236,-72.4875,57.65,54,75,19.57,CL,1729452726
29,kodiak,57.79,-152.4072,44.11,57,0,10.36,US,1729452919
30,iqaluit,63.7506,-68.5145,33.53,86,100,11.5,CA,1729452920
31,pierre,44.3683,-100.351,78.28,40,0,6.91,US,1729452921
32,alaghsas,17.0187,8.0168,89.42,9,2,9.51,NE,1729452925
33,bodo,67.28,14.405,48.94,97,75,2.3,NO,1729452926
34,markovo,57.3206,107.0881,16.99,98,96,2.91,RU,1729452927
35,bredasdorp,-34.5322,20.0403,55.56,90,0,7.43,ZA,1729452930
36,kerikeri,-35.2268,173.9474,58.91,89,66,3.0,NZ,1729452931
37,tumbes,-3.5667,-80.4414,78.75,69,40,10.36,PE,1729452932
38,sedhiou,12.7081,-15.5569,82.26,78,91,2.42,SN,1729452934
39,hithadhoo,-0.6,73.0833,82.99,74,52,12.17,MV,1729452936
40,whitehorse,60.7161,-135.0538,7.57,78,0,4.61,CA,1729452676
41,chonchi,-42.6128,-73.8092,49.98,95,100,4.61,CL,1729452940
42,port-aux-francais,-49.35,70.2167,40.24,97,100,20.6,TF,1729452942
43,la'ie,21.6477,-157.9253,84.16,72,4,5.99,US,1729452943
44,bilibino,68.0546,166.4372,19.89,92,100,10.49,RU,1729452944
45,ancud,-41.8697,-73.8203,51.39,90,100,8.21,CL,1729452945
46,meizhou,24.2977,116.1072,67.8,93,18,2.91,CN,1729452946
47,new norfolk,-42.7826,147.0587,53.92,93,83,1.16,AU,1729452948
48,nuriootpa,-34.4833,139.0,53.8,71,11,7.99,AU,1729452949
49,viedma,-40.8135,-62.9967,65.53,84,100,11.52,AR,1729452918
50,tolanaro,-25.0319,46.9987,77.07,83,20,24.16,MG,1729452951
51,katabu,-4.9333,122.5167,74.35,85,100,2.04,ID,1729452952
52,chilaw,7.5758,79.7953,81.5,81,62,11.01,LK,1729452953
53,jamestown,42.097,-79.2353,67.64,34,0,10.36,US,1729452743
54,burao,9.5221,45.5336,79.9,50,71,8.19,SO,1729452956
55,kaa-khem,51.6833,94.7333,29.28,68,87,5.12,RU,1729452957
56,tutoia,-2.7619,-42.2744,81.72,73,12,16.98,BR,1729452958
57,praia da vitoria,38.7333,-27.0667,64.65,72,40,11.54,PT,1729452959
58,west island,-12.1568,96.8225,76.98,73,71,9.22,CC,1729452961
59,sitka,57.0531,-135.33,42.69,61,0,3.44,US,1729452793
60,podporozh'ye,60.9112,34.1706,40.91,76,27,6.96,RU,1729452963
61,albany,42.6001,-73.9662,71.92,40,43,1.01,US,1729452701
62,tiksi,71.6872,128.8694,16.83,94,100,9.69,RU,1729452965
63,klyuchi,52.2667,79.1667,42.28,50,100,10.13,RU,1729452966
64,sarmiento,-45.5882,-69.07,71.35,21,61,20.36,AR,1729452967
65,iskateley,67.6803,53.1512,32.85,90,11,4.88,RU,1729452970
66,talnakh,69.4865,88.3972,14.77,89,100,1.32,RU,1729452971
67,hammerfest,70.6634,23.6821,48.65,81,75,10.36,NO,1729452972
68,mont-tremblant,46.1949,-74.6264,60.58,63,100,2.3,CA,1729452900
69,ilulissat,69.2167,-51.1,28.42,64,75,16.11,GL,1729452976
70,fortuna,40.5982,-124.1573,69.93,66,0,0.0,US,1729452977
71,muynoq,43.7683,59.0214,52.72,73,32,10.18,UZ,1729452978
72,labrador city,52.9463,-66.9114,41.18,92,100,68.0,CA,1729452978
73,nouadhibou,20.931,-17.0347,76.98,61,100,14.97,MR,1729452980
74,bethel,41.3712,-73.414,75.0,33,2,1.01,US,1729452981
75,ratnagiri,16.9833,73.3,79.47,85,100,3.0,IN,1729452983
76,avarua,-21.2078,-159.775,71.65,100,100,19.57,CK,1729452984
77,ribeira grande,38.5167,-28.7,64.8,63,20,8.05,PT,1729452985
78,gornozavodsk,58.3758,58.3211,41.14,81,100,8.16,RU,1729452986
79,moroto,2.5345,34.6666,75.56,54,99,11.5,UG,1729452987
80,san carlos,9.6612,-68.5827,91.0,55,100,1.23,VE,1729452988
81,kertih,4.5141,103.4483,78.82,94,100,0.0,MY,1729452990
82,korla,41.7597,86.1469,48.63,34,5,3.8,CN,1729452991
83,bel ombre,-4.6167,55.4167,80.44,78,20,8.05,SC,1729452992
84,anadyr,64.75,177.4833,43.3,81,20,25.99,RU,1729452993
85,badger,64.8,-147.5333,20.35,93,100,5.75,US,1729452994
86,nemuro,43.3236,145.575,47.64,64,0,7.92,JP,1729452995
87,longyearbyen,78.2186,15.6401,37.24,93,75,6.91,SJ,1729452996
88,mana,5.6592,-53.7767,85.01,72,87,9.06,GF,1729452998
89,alice springs,-23.7,133.8833,63.95,27,0,0.0,AU,1729452714
90,pacocha,-17.5833,-71.3333,63.59,76,5,6.55,PE,1729453000
91,palmer,42.1584,-72.3287,74.75,27,40,8.05,US,1729453001
92,kirensk,57.7853,108.1119,14.61,99,97,2.95,RU,1729453002
93,kapit,2.0167,112.9333,73.22,99,100,0.31,MY,1729453003
94,ushirombo,-3.4919,31.9639,70.34,82,82,7.23,TZ,1729453004
95,qaqortoq,60.7167,-46.0333,33.21,62,0,23.82,GL,1729453006
96,dazhong,33.1997,120.4578,59.76,96,100,7.14,CN,1729453007
97,stanley,54.868,-1.6985,55.42,69,75,24.16,GB,1729453008
98,ulsteinvik,62.3432,5.8487,53.31,94,100,1.99,NO,1729453003
99,jalasjarvi,62.5,22.75,52.09,97,100,9.66,FI,1729453010
100,nieuw amsterdam,5.8833,-55.0833,89.62,66,20,9.22,SR,1729453011
101,saint-philippe,-21.3585,55.7679,71.65,83,21,9.53,RE,1729453012
102,sharypovo,55.5403,89.2008,38.89,66,100,14.99,RU,1729453013
103,camiri,-20.05,-63.5167,96.58,21,0,5.75,BO,1729453015
104,uturoa,-16.7333,-151.4333,79.39,82,21,17.58,PF,1729453016
105,enewetak,11.3474,162.3373,84.15,74,100,16.64,MH,1729453017
106,arteche,12.2645,125.4048,77.25,92,100,3.2,PH,1729453018
107,wailua homesteads,22.0669,-159.378,81.39,77,0,11.5,US,1729453019
108,rio grande,-32.035,-52.0986,69.44,78,6,16.75,BR,1729453020
109,taikang,46.8333,124.4167,45.27,66,100,25.97,CN,1729453021
110,nikolayevsk-on-amure,53.1406,140.73,23.45,72,99,3.94,RU,1729453023
111,san patricio,28.017,-97.5169,85.95,55,64,14.32,US,1729453024
112,vilyuchinsk,52.9306,158.4028,34.07,76,15,25.99,RU,1729453025
113,utrik,11.2278,169.8474,82.22,81,100,21.88,MH,1729453026
114,papatowai,-46.5619,169.4708,59.07,66,99,6.71,NZ,1729453030
115,kiunga,-6.1219,141.2906,72.66,99,99,2.57,PG,1729453031
116,invercargill,-46.4,168.35,58.01,84,85,5.01,NZ,1729453032
117,homer,59.6425,-151.5483,38.77,59,0,3.44,US,1729453033
118,atbasar,51.8,68.3333,47.37,48,100,5.55,KZ,1729453035
119,madukkur,10.4833,79.4,78.73,86,93,5.21,IN,1729453036
120,saint-joseph,-21.3667,55.6167,70.18,81,10,10.18,RE,1729453038
